RUT,Nombre cliente,Dirección cliente,Fecha de Pedido,Número de Orden,Monto Pedido,Fecha de despacho Solicitada,Comuna
6.639.530-6,Cliente 6639530,"Avenida Grecia 3963, Santiago, Chile",2026-12-01,ORD-CL-202612-000075,148912,2026-12-05,Las Condes
21.188.403-1,Cliente 21188403,"Calle Merced 1295, Santiago, Chile",2026-12-01,ORD-CL-202612-000076,186428,2026-12-04,Recoleta
22.716.997-1,Cliente 22716997,"Calle Compañía De Jesús 386, Santiago, Chile",2026-12-01,ORD-CL-202612-000077,104512,2026-12-05,Peñalolén
17.126.096-0,Cliente Nuevo 17126096,"Calle Santo Domingo 1055, Santiago, Chile",2026-12-01,ORD-CL-202612-000078,305291,2026-12-05,Providencia
11.292.260-5,Cliente 11292260,"Avenida Irarrázaval 6780, Santiago, Chile",2026-12-01,ORD-CL-202612-000079,48218,2026-12-03,Santiago
9.212.917-4,Cliente 9212917,"Gran Avenida José Miguel Carrera 9844, Santiago, Chile",2026-12-01,ORD-CL-202612-000080,203429,2026-12-05,Quinta Normal
5.207.312-2,Cliente Nuevo 5207312,"Calle San Diego 2452, Santiago, Chile",2026-12-01,ORD-CL-202612-000081,172749,2026-12-04,Estación Central
19.856.952-4,Cliente 19856952,"Avenida Departamental 2287, Santiago, Chile",2026-12-01,ORD-CL-202612-000082,168422,2026-12-03,La Florida
10.469.153-4,Cliente 10469153,"Avenida La Florida 9689, Santiago, Chile",2026-12-01,ORD-CL-202612-000083,150920,2026-12-04,Quinta Normal
20.325.827-9,Cliente 20325827,"Avenida Santa Rosa 7174, Santiago, Chile",2026-12-01,ORD-CL-202612-000084,148638,2026-12-04,Providencia
15.236.104-9,Cliente 15236104,"Calle Teatinos 975, Santiago, Chile",2026-12-01,ORD-CL-202612-000085,299317,2026-12-03,San Miguel
7.383.509-4,Cliente Nuevo 7383509,"Avenida Matta 4411, Santiago, Chile",2026-12-01,ORD-CL-202612-000086,188471,2026-12-04,Las Condes
17.107.764-6,Cliente 17107764,"Avenida Pajaritos 5796, Santiago, Chile",2026-12-01,ORD-CL-202612-000087,325781,2026-12-03,Independencia
7.924.963-1,Cliente Nuevo 7924963,"Calle Monjitas 7974, Santiago, Chile",2026-12-01,ORD-CL-202612-000088,77450,2026-12-03,Recoleta
17.206.882-4,Cliente 17206882,"Calle San Diego 6019, Santiago, Chile",2026-12-01,ORD-CL-202612-000089,200092,2026-12-03,Santiago
7.599.270-9,Cliente 7599270,"Avenida La Florida 7983, Santiago, Chile",2026-12-01,ORD-CL-202612-000090,137219,2026-12-04,Santiago
7.910.497-1,Cliente Nuevo 7910497,"Avenida Independencia 4637, Santiago, Chile",2026-12-01,ORD-CL-202612-000091,200870,2026-12-03,Providencia
16.205.995-6,Cliente 16205995,"Avenida Providencia 4727, Santiago, Chile",2026-12-01,ORD-CL-202612-000092,288295,2026-12-03,La Florida
13.453.886-9,Cliente 13453886,"Calle Catedral 2615, Santiago, Chile",2026-12-01,ORD-CL-202612-000093,127911,2026-12-03,Providencia
8.447.364-0,Cliente 8447364,"Avenida Irarrázaval 640, Santiago, Chile",2026-12-01,ORD-CL-202612-000094,94985,2026-12-03,Lo Prado
14.005.353-7,Cliente 14005353,"Calle Morandé 3761, Santiago, Chile",2026-12-01,ORD-CL-202612-000095,239928,2026-12-03,Quinta Normal
5.260.189-5,Cliente Nuevo 5260189,"Calle Arturo Prat 4852, Santiago, Chile",2026-12-01,ORD-CL-202612-000096,212161,2026-12-03,Independencia
11.044.319-2,Cliente Nuevo 11044319,"Calle Bandera 7702, Santiago, Chile",2026-12-01,ORD-CL-202612-000097,239385,2026-12-04,Santiago
14.918.958-0,Cliente Nuevo 14918958,"Avenida Apoquindo 3829, Santiago, Chile",2026-12-01,ORD-CL-202612-000098,276504,2026-12-05,La Florida
20.827.561-3,Cliente 20827561,"Avenida Macul 2508, Santiago, Chile",2026-12-01,ORD-CL-202612-000099,206032,2026-12-05,La Reina
21.692.042-6,Cliente 21692042,"Avenida Las Condes 1523, Santiago, Chile",2026-12-01,ORD-CL-202612-000100,311310,2026-12-02,Estación Central
16.028.172-6,Cliente 16028172,"Gran Avenida José Miguel Carrera 7987, Santiago, Chile",2026-12-01,ORD-CL-202612-000101,168542,2026-12-06,Santiago
5.875.859-6,Cliente 5875859,"Avenida Manuel Montt 5607, Santiago, Chile",2026-12-01,ORD-CL-202612-000102,137624,2026-12-06,Las Condes
22.242.242-0,Cliente 22242242,"Calle Teatinos 7628, Santiago, Chile",2026-12-01,ORD-CL-202612-000103,244021,2026-12-03,Santiago
19.129.527-8,Cliente Nuevo 19129527,"Calle San Diego 3767, Santiago, Chile",2026-12-01,ORD-CL-202612-000104,72921,2026-12-05,Lo Prado
5.504.653-3,Cliente Nuevo 5504653,"Avenida Las Condes 6424, Santiago, Chile",2026-12-01,ORD-CL-202612-000105,142258,2026-12-02,Recoleta
6.941.496-0,Cliente Nuevo 6941496,"Calle Santo Domingo 7909, Santiago, Chile",2026-12-01,ORD-CL-202612-000106,189597,2026-12-05,Independencia
15.815.165-1,Cliente 15815165,"Calle Santo Domingo 9121, Santiago, Chile",2026-12-01,ORD-CL-202612-000107,126632,2026-12-03,Recoleta
9.272.430-1,Cliente 9272430,"Avenida Kennedy 3695, Santiago, Chile",2026-12-01,ORD-CL-202612-000108,180277,2026-12-03,La Reina
14.004.266-5,Cliente 14004266,"Calle San Diego 9520, Santiago, Chile",2026-12-01,ORD-CL-202612-000109,93564,2026-12-05,La Florida
16.111.501-1,Cliente Nuevo 16111501,"Avenida Mapocho 2352, Santiago, Chile",2026-12-01,ORD-CL-202612-000110,151697,2026-12-04,Recoleta
5.802.113-4,Cliente Nuevo 5802113,"Avenida Las Condes 599, Santiago, Chile",2026-12-01,ORD-CL-202612-000111,260585,2026-12-03,San Miguel
20.827.561-3,Cliente 20827561,"Avenida Macul 2508, Santiago, Chile",2026-12-01,ORD-CL-202612-000112,156946,2026-12-03,La Reina
10.793.214-1,Cliente 10793214,"Calle Huérfanos 7037, Santiago, Chile",2026-12-01,ORD-CL-202612-000113,158040,2026-12-02,Santiago
19.513.768-2,Cliente Nuevo 19513768,"Calle Estado 238, Santiago, Chile",2026-12-01,ORD-CL-202612-000114,110928,2026-12-04,Santiago
19.815.475-2,Cliente Nuevo 19815475,"Calle San Antonio 6514, Santiago, Chile",2026-12-01,ORD-CL-202612-000115,267478,2026-12-03,La Reina
7.380.294-6,Cliente Nuevo 7380294,"Avenida Libertador Bernardo O'Higgins 4192, Santiago, Chile",2026-12-01,ORD-CL-202612-000116,113234,2026-12-03,Providencia
7.656.397-6,Cliente 7656397,"Avenida La Florida 777, Santiago, Chile",2026-12-01,ORD-CL-202612-000117,42545,2026-12-02,Estación Central
6.505.448-5,Cliente 6505448,"Avenida La Florida 3026, Santiago, Chile",2026-12-01,ORD-CL-202612-000118,43659,2026-12-03,Santiago
6.466.103-7,Cliente 6466103,"Calle San Antonio 7911, Santiago, Chile",2026-12-01,ORD-CL-202612-000119,212531,2026-12-03,Santiago
7.396.585-3,Cliente 7396585,"Avenida Departamental 2586, Santiago, Chile",2026-12-01,ORD-CL-202612-000120,143418,2026-12-04,Santiago
10.213.922-7,Cliente Nuevo 10213922,"Calle Bandera 3131, Santiago, Chile",2026-12-01,ORD-CL-202612-000121,172717,2026-12-03,Estación Central
5.149.195-4,Cliente 5149195,"Avenida Santa Rosa 5626, Santiago, Chile",2026-12-01,ORD-CL-202612-000122,156474,2026-12-03,San Miguel
5.257.070-1,Cliente Nuevo 5257070,"Avenida Macul 1756, Santiago, Chile",2026-12-01,ORD-CL-202612-000123,186998,2026-12-05,Santiago
20.453.110-8,Cliente 20453110,"Avenida Américo Vespucio 4961, Santiago, Chile",2026-12-01,ORD-CL-202612-000124,173886,2026-12-04,La Florida
13.728.526-8,Cliente Nuevo 13728526,"Avenida Mapocho 1404, Santiago, Chile",2026-12-01,ORD-CL-202612-000125,203160,2026-12-04,Santiago
22.556.099-9,Cliente Nuevo 22556099,"Avenida Kennedy 6395, Santiago, Chile",2026-12-01,ORD-CL-202612-000126,158204,2026-12-03,Recoleta
18.879.635-6,Cliente 18879635,"Avenida Independencia 8901, Santiago, Chile",2026-12-01,ORD-CL-202612-000127,105275,2026-12-05,Santiago
9.763.970-0,Cliente 9763970,"Calle Bandera 9916, Santiago, Chile",2026-12-01,ORD-CL-202612-000128,103775,2026-12-04,Peñalolén
22.759.622-2,Cliente 22759622,"Avenida Matta 5603, Santiago, Chile",2026-12-01,ORD-CL-202612-000129,118861,2026-12-04,La Reina
9.679.989-7,Cliente Nuevo 9679989,"Calle San Diego 1071, Santiago, Chile",2026-12-01,ORD-CL-202612-000130,239305,2026-12-02,Providencia
17.446.258-8,Cliente 17446258,"Avenida Departamental 6863, Santiago, Chile",2026-12-01,ORD-CL-202612-000131,144727,2026-12-04,Providencia
10.814.207-6,Cliente Nuevo 10814207,"Avenida Santa Rosa 5046, Santiago, Chile",2026-12-01,ORD-CL-202612-000132,199076,2026-12-04,Puente Alto
5.538.773-7,Cliente Nuevo 5538773,"Calle Teatinos 4659, Santiago, Chile",2026-12-01,ORD-CL-202612-000133,46938,2026-12-03,La Florida
16.554.800-3,Cliente 16554800,"Calle Estado 7420, Santiago, Chile",2026-12-01,ORD-CL-202612-000134,98029,2026-12-04,San Miguel
15.301.216-5,Cliente 15301216,"Avenida Vicuña Mackenna 8405, Santiago, Chile",2026-12-01,ORD-CL-202612-000135,219322,2026-12-03,Peñalolén
9.255.041-3,Cliente Nuevo 9255041,"Avenida Mapocho 7888, Santiago, Chile",2026-12-01,ORD-CL-202612-000136,86698,2026-12-04,Lo Prado
11.669.766-7,Cliente Nuevo 11669766,"Avenida Kennedy 5651, Santiago, Chile",2026-12-01,ORD-CL-202612-000137,134635,2026-12-04,Independencia
6.343.287-3,Cliente Nuevo 6343287,"Avenida Grecia 943, Santiago, Chile",2026-12-01,ORD-CL-202612-000138,92973,2026-12-04,Peñalolén
16.229.670-1,Cliente 16229670,"Avenida Pajaritos 9174, Santiago, Chile",2026-12-01,ORD-CL-202612-000139,112448,2026-12-03,La Florida
9.810.834-8,Cliente Nuevo 9810834,"Avenida Apoquindo 8832, Santiago, Chile",2026-12-01,ORD-CL-202612-000140,208315,2026-12-03,Lo Prado
14.016.222-5,Cliente Nuevo 14016222,"Calle San Antonio 2631, Santiago, Chile",2026-12-01,ORD-CL-202612-000141,255487,2026-12-03,La Reina
6.304.052-0,Cliente Nuevo 6304052,"Avenida Vitacura 682, Santiago, Chile",2026-12-01,ORD-CL-202612-000142,216826,2026-12-04,Quinta Normal
14.358.394-1,Cliente 14358394,"Avenida Matta 9543, Santiago, Chile",2026-12-01,ORD-CL-202612-000143,41473,2026-12-03,Estación Central
21.030.198-9,Cliente 21030198,"Avenida Vitacura 713, Santiago, Chile",2026-12-01,ORD-CL-202612-000144,113704,2026-12-03,Quinta Normal
17.328.690-8,Cliente 17328690,"Avenida Departamental 8533, Santiago, Chile",2026-12-01,ORD-CL-202612-000145,178899,2026-12-04,Santiago
13.752.238-8,Cliente 13752238,"Calle Estado 9631, Santiago, Chile",2026-12-01,ORD-CL-202612-000146,142945,2026-12-04,Santiago
22.644.999-4,Cliente Nuevo 22644999,"Calle Catedral 9906, Santiago, Chile",2026-12-01,ORD-CL-202612-000147,129587,2026-12-05,Recoleta
17.547.435-3,Cliente Nuevo 17547435,"Avenida Irarrázaval 2033, Santiago, Chile",2026-12-01,ORD-CL-202612-000148,121313,2026-12-03,Santiago
16.478.394-3,Cliente Nuevo 16478394,"Avenida Las Condes 7366, Santiago, Chile",2026-12-01,ORD-CL-202612-000149,138025,2026-12-05,Providencia
10.411.606-1,Cliente Nuevo 10411606,"Calle Santo Domingo 6777, Santiago, Chile",2026-12-01,ORD-CL-202612-000150,242231,2026-12-03,Vitacura
14.310.620-8,Cliente Nuevo 14310620,"Calle Santo Domingo 5170, Santiago, Chile",2026-12-01,ORD-CL-202612-000151,229807,2026-12-02,Recoleta
5.889.029-3,Cliente 5889029,"Calle Santo Domingo 8242, Santiago, Chile",2026-12-01,ORD-CL-202612-000152,89992,2026-12-04,La Reina
19.928.840-1,Cliente Nuevo 19928840,"Calle San Diego 1862, Santiago, Chile",2026-12-01,ORD-CL-202612-000153,107781,2026-12-05,Peñalolén
19.779.462-2,Cliente 19779462,"Calle Huérfanos 3861, Santiago, Chile",2026-12-01,ORD-CL-202612-000154,207166,2026-12-04,San Miguel
22.116.046-1,Cliente Nuevo 22116046,"Calle Monjitas 4798, Santiago, Chile",2026-12-01,ORD-CL-202612-000155,72069,2026-12-03,Independencia
22.555.917-0,Cliente Nuevo 22555917,"Calle Amunátegui 8910, Santiago, Chile",2026-12-01,ORD-CL-202612-000156,96495,2026-12-04,Peñalolén
20.757.511-0,Cliente 20757511,"Avenida Vicuña Mackenna 154, Santiago, Chile",2026-12-01,ORD-CL-202612-000157,47974,2026-12-02,Recoleta
14.233.701-5,Cliente 14233701,"Avenida Libertador Bernardo O'Higgins 2588, Santiago, Chile",2026-12-01,ORD-CL-202612-000158,126038,2026-12-04,Lo Prado
22.449.774-2,Cliente Nuevo 22449774,"Avenida Pajaritos 6316, Santiago, Chile",2026-12-01,ORD-CL-202612-000159,256738,2026-12-05,Providencia
10.850.565-0,Cliente Nuevo 10850565,"Avenida Providencia 178, Santiago, Chile",2026-12-01,ORD-CL-202612-000160,126552,2026-12-03,Providencia
14.638.662-5,Cliente Nuevo 14638662,"Avenida Libertador Bernardo O'Higgins 9819, Santiago, Chile",2026-12-01,ORD-CL-202612-000161,227725,2026-12-04,Santiago
12.221.010-7,Cliente Nuevo 12221010,"Avenida Matta 5052, Santiago, Chile",2026-12-01,ORD-CL-202612-000162,112099,2026-12-05,Puente Alto
21.546.217-3,Cliente Nuevo 21546217,"Avenida Pedro De Valdivia 8264, Santiago, Chile",2026-12-01,ORD-CL-202612-000163,153079,2026-12-03,Puente Alto
13.594.672-8,Cliente Nuevo 13594672,"Avenida Macul 2271, Santiago, Chile",2026-12-01,ORD-CL-202612-000164,297993,2026-12-04,Peñalolén
20.328.731-5,Cliente Nuevo 20328731,"Avenida Pajaritos 9996, Santiago, Chile",2026-12-01,ORD-CL-202612-000165,221136,2026-12-04,Las Condes
9.709.625-6,Cliente Nuevo 9709625,"Calle Arturo Prat 2589, Santiago, Chile",2026-12-01,ORD-CL-202612-000166,247085,2026-12-03,Peñalolén
6.163.666-8,Cliente Nuevo 6163666,"Avenida Tobalaba 8026, Santiago, Chile",2026-12-01,ORD-CL-202612-000167,211246,2026-12-02,Santiago
8.059.148-2,Cliente 8059148,"Gran Avenida José Miguel Carrera 9890, Santiago, Chile",2026-12-01,ORD-CL-202612-000168,155223,2026-12-04,Santiago
15.815.165-1,Cliente 15815165,"Calle Santo Domingo 9121, Santiago, Chile",2026-12-01,ORD-CL-202612-000169,222871,2026-12-03,Recoleta
13.725.651-2,Cliente 13725651,"Calle San Antonio 2929, Santiago, Chile",2026-12-01,ORD-CL-202612-000170,192555,2026-12-03,Santiago
17.328.690-8,Cliente 17328690,"Avenida Departamental 8533, Santiago, Chile",2026-12-01,ORD-CL-202612-000171,88690,2026-12-04,Santiago
21.961.796-1,Cliente Nuevo 21961796,"Avenida Tobalaba 7018, Santiago, Chile",2026-12-01,ORD-CL-202612-000172,160962,2026-12-04,Peñalolén
9.312.265-5,Cliente Nuevo 9312265,"Calle Morandé 3445, Santiago, Chile",2026-12-01,ORD-CL-202612-000173,73164,2026-12-04,Recoleta
8.827.735-9,Cliente Nuevo 8827735,"Avenida Pajaritos 4700, Santiago, Chile",2026-12-01,ORD-CL-202612-000174,206890,2026-12-02,Santiago
13.905.591-0,Cliente Nuevo 13905591,"Avenida Irarrázaval 7578, Santiago, Chile",2026-12-01,ORD-CL-202612-000175,110439,2026-12-06,Providencia
6.031.151-7,Cliente 6031151,"Avenida Independencia 1274, Santiago, Chile",2026-12-01,ORD-CL-202612-000176,132609,2026-12-04,Puente Alto
